trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
1,2025-07-22,SHORT,09:25,3,09:35,5,09:40,6,25116.9,25093.15,25147.65,25092.15,TARGET,23.75,1701.25,1,1,25.75,0.5883,0.1592
2,2025-07-22,LONG,10:10,12,10:20,14,10:40,18,25114.5,25089.4,25090.4,25138.5,STOP_LOSS,-25.1,-1962.5,4,1,19.1,0.9555,0.9764
3,2025-07-24,SHORT,09:45,7,09:55,9,11:10,24,25171.3,25148.3,25197.9,25147.3,TARGET,23.0,1645.0,15,1,21.6,0.5509,0.0764
4,2025-07-28,SHORT,09:35,5,09:45,7,10:15,13,24819.35,24854.5,24853.5,24791.2,STOP_LOSS,-35.15,-2716.25,6,1,29.15,0.5935,0.1252
5,2025-08-01,SHORT,09:20,2,09:30,4,09:55,9,24709.2,24686.2,24734.6,24685.2,TARGET,23.0,1645.0,5,1,20.4,0.6471,0.0245
6,2025-08-01,LONG,10:00,10,10:10,12,10:20,14,24732.35,24775.05,24696.35,24776.05,TARGET,42.7,3122.5,2,1,44.7,0.6812,0.9474
7,2025-08-05,SHORT,09:35,5,09:45,7,12:10,36,24628.45,24665.45,24664.45,24585.25,STOP_LOSS,-37.0,-2855.0,29,1,44.2,0.9355,0.0452
8,2025-08-06,SHORT,09:35,5,09:45,7,10:00,10,24615.4,24591.6,24646.2,24590.6,TARGET,23.8,1705.0,3,1,25.8,0.8411,0.1453
9,2025-08-11,SHORT,09:35,5,09:45,7,10:00,10,24369.9,24406.9,24405.9,24324.8,STOP_LOSS,-37.0,-2855.0,3,1,46.1,0.8905,0.0846
10,2025-08-12,LONG,09:20,2,09:30,4,09:45,7,24615.6,24658.75,24579.6,24659.75,TARGET,43.15,3156.25,3,1,45.15,0.8184,0.948
11,2025-08-12,LONG,09:50,8,10:00,10,10:05,11,24671.9,24694.9,24645.8,24695.9,TARGET,23.0,1645.0,1,1,21.1,0.6943,0.9739
12,2025-08-12,SHORT,10:10,12,10:20,14,10:25,15,24653.8,24652.8,24689.8,24620.05,STOP_LOSS,1.0,-5.0,1,1,34.75,0.7899,0.1597
13,2025-08-14,LONG,09:35,5,09:45,7,11:40,30,24651.0,24614.0,24615.0,24681.45,STOP_LOSS,-37.0,-2855.0,23,1,31.45,0.9777,1.0
14,2025-08-19,LONG,09:45,7,09:55,9,10:10,12,24900.25,24923.25,24871.95,24924.25,TARGET,23.0,1645.0,3,1,23.3,0.588,0.8755
15,2025-08-20,LONG,09:30,4,09:40,6,09:45,7,24959.3,24983.9,24927.7,24984.9,TARGET,24.6,1765.0,1,1,26.6,0.7011,1.0
16,2025-08-20,LONG,10:10,12,10:20,14,11:10,24,24998.75,25021.75,24974.7,25022.75,TARGET,23.0,1645.0,10,1,19.05,0.5669,1.0
17,2025-08-22,SHORT,09:20,2,09:30,4,09:35,5,24993.3,24968.5,25025.1,24967.5,TARGET,24.8,1780.0,1,1,26.8,0.9459,0.0224
18,2025-08-22,LONG,09:40,6,09:50,8,09:55,9,24984.25,24960.0,24956.65,25008.25,FT_FAILURE,-24.25,-1898.75,1,1,22.6,0.7743,1.0
19,2025-08-22,SHORT,10:15,13,10:25,15,11:15,25,24925.6,24894.9,24961.6,24893.9,TARGET,30.7,2222.5,10,1,32.7,0.8731,0.1009
20,2025-09-02,LONG,09:25,3,09:35,5,09:40,6,24656.9,24679.9,24629.35,24680.9,TARGET,23.0,1645.0,1,1,22.55,0.5654,0.9845
