trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
1,2025-06-04,LONG,09:55,9,10:05,11,10:35,17,24578.85,24601.85,24551.95,24602.85,TARGET,23.0,1645.0,6,1,21.9,0.9658,0.9658
2,2025-06-06,SHORT,09:25,3,09:35,5,09:40,6,24726.05,24702.75,24756.35,24701.75,TARGET,23.3,1667.5,1,1,25.3,0.7233,0.0158
3,2025-06-06,LONG,09:45,7,09:55,9,10:00,10,24707.8,24686.4,24679.05,24731.8,FT_FAILURE,-21.4,-1685.0,1,1,23.75,0.68,0.9537
4,2025-06-06,LONG,10:25,15,10:35,17,10:40,18,24837.6,24883.9,24801.6,24884.9,TARGET,46.3,3392.5,1,1,48.3,0.9803,1.0
5,2025-06-11,LONG,09:25,3,09:35,5,09:40,6,25140.0,25125.2,25115.7,25164.0,FT_FAILURE,-14.8,-1190.0,1,1,19.3,0.8472,0.9819
6,2025-06-12,SHORT,09:35,5,09:45,7,09:55,9,25143.3,25095.4,25179.3,25094.4,TARGET,47.9,3512.5,2,1,49.9,0.7695,0.0721
7,2025-06-18,LONG,09:25,3,09:35,5,09:40,6,24903.3,24929.0,24870.6,24930.0,TARGET,25.7,1847.5,1,1,27.7,0.6119,0.8881
8,2025-06-18,SHORT,09:50,8,10:00,10,10:20,14,24909.6,24908.6,24935.55,24885.6,STOP_LOSS,1.0,-5.0,4,1,20.95,0.5227,0.2005
9,2025-06-19,LONG,09:40,6,09:55,9,10:00,10,24845.0,24820.8,24824.35,24869.0,FT_FAILURE,-24.2,-1895.0,1,1,15.65,0.5272,0.8466
10,2025-06-26,LONG,09:25,3,09:35,5,09:45,7,25354.85,25383.15,25319.55,25384.15,TARGET,28.3,2042.5,2,1,30.3,0.5578,0.896
11,2025-06-26,SHORT,10:25,15,10:40,18,10:45,19,25358.05,25335.05,25381.8,25334.05,TARGET,23.0,1645.0,1,1,18.75,0.592,0.0667
