trade_id,date,direction,signal_bar_time,signal_bar_number,entry_time,entry_bar_number,exit_time,exit_bar_number,entry_price,exit_price,stop_loss,target,exit_reason,pnl_points,pnl_amount,bars_held,lots,signal_bar_range,signal_bar_body_ratio,signal_bar_close_position
1,2025-01-22,LONG,09:30,4,09:40,6,09:45,7,23107.3,23059.55,23072.9,23135.7,FT_FAILURE,-47.75,-3661.25,1,1,29.4,0.6105,0.8861
2,2025-01-22,LONG,09:50,8,10:00,10,10:45,19,23088.6,23121.65,23052.6,23122.65,TARGET,33.05,2398.75,9,1,35.05,0.6262,0.933
3,2025-01-23,LONG,09:40,6,09:50,8,10:20,14,23205.85,23236.45,23169.85,23237.45,TARGET,30.6,2215.0,6,1,32.6,0.8129,0.8497
4,2025-01-29,LONG,10:20,14,10:35,17,10:40,18,23104.0,23073.1,23068.0,23147.9,FT_FAILURE,-30.9,-2397.5,1,1,44.9,0.9588,0.9788
5,2025-01-30,LONG,09:55,9,10:05,11,10:10,12,23236.95,23259.95,23215.25,23260.95,TARGET,23.0,1645.0,1,1,16.7,0.509,0.7934
6,2025-01-31,LONG,09:20,2,09:30,4,09:40,6,23321.1,23346.95,23288.25,23347.95,TARGET,25.85,1858.75,2,1,27.85,0.5422,0.9354
7,2025-01-31,LONG,10:15,13,10:25,15,10:30,16,23365.05,23393.4,23329.7,23394.4,TARGET,28.35,2046.25,1,1,30.35,0.7199,1.0
8,2025-02-11,SHORT,09:20,2,09:30,4,09:35,5,23309.25,23334.05,23345.25,23272.15,FT_FAILURE,-24.8,-1940.0,1,1,38.1,0.9029,0.0354
9,2025-02-11,SHORT,09:45,7,09:55,9,10:10,12,23307.3,23276.25,23343.3,23275.25,TARGET,31.05,2248.75,3,1,33.05,0.8805,0.0045
10,2025-02-11,LONG,10:20,14,10:30,16,10:40,18,23286.0,23258.25,23259.25,23310.0,STOP_LOSS,-27.75,-2161.25,2,1,21.75,0.7494,0.8805
11,2025-02-13,LONG,09:50,8,10:00,10,10:25,15,23177.65,23140.65,23141.65,23221.1,STOP_LOSS,-37.0,-2855.0,5,1,44.45,0.8909,0.9696
