date,open,high,low,close,volume
2025-12-15 09:15:00,870.0,870.0,716.7,724.0,19320
2025-12-15 09:45:00,724.0,746.35,716.05,745.55,7110
2025-12-15 10:15:00,745.55,752.0,710.0,734.5,5850
2025-12-15 10:45:00,734.5,764.85,724.1,736.85,52320
2025-12-15 11:15:00,736.85,759.55,727.2,740.0,4530
2025-12-15 11:45:00,740.0,850.0,740.0,839.25,65250
2025-12-15 12:15:00,839.25,848.5,822.0,822.0,6390
2025-12-15 12:45:00,822.0,859.0,812.75,859.0,8550
2025-12-15 13:15:00,859.0,860.0,815.15,825.1,14820
2025-12-15 13:45:00,825.1,844.95,806.9,820.05,9000
2025-12-15 14:15:00,820.05,843.8,818.0,842.2,9330
2025-12-15 14:45:00,842.2,845.0,821.05,830.0,4350
2025-12-15 15:15:00,824.3,850.0,816.4,842.0,12750
2025-12-16 09:15:00,800.05,803.95,680.0,709.4,31110
2025-12-16 09:45:00,709.4,717.0,673.45,694.7,13530
2025-12-16 10:15:00,694.7,714.0,687.1,707.0,9270
2025-12-16 10:45:00,707.0,708.8,682.5,691.45,12660
2025-12-16 11:15:00,691.45,699.6,654.5,660.55,20910
2025-12-16 11:45:00,660.55,681.45,659.85,680.0,5700
2025-12-16 12:15:00,680.0,697.0,673.1,692.45,3330
2025-12-16 12:45:00,692.45,692.45,668.05,669.15,4560
2025-12-16 13:15:00,669.15,696.0,668.05,686.05,15330
2025-12-16 13:45:00,686.05,708.0,665.0,671.9,8820
2025-12-16 14:15:00,671.9,681.35,657.45,675.0,23460
2025-12-16 14:45:00,675.0,684.65,663.8,664.0,8520
2025-12-16 15:15:00,664.0,666.15,625.25,625.85,16020
2025-12-17 09:15:00,653.0,676.3,615.5,620.3,22110
2025-12-17 09:45:00,620.3,630.0,581.4,601.05,18630
2025-12-17 10:15:00,601.05,616.9,575.0,580.45,14730
2025-12-17 10:45:00,580.45,617.2,580.45,616.55,13260
2025-12-17 11:15:00,616.55,629.2,595.0,607.85,7080
2025-12-17 11:45:00,607.85,622.85,583.05,586.55,13230
2025-12-17 12:15:00,586.55,597.4,573.35,583.15,6900
2025-12-17 12:45:00,583.15,590.0,555.15,564.45,7410
2025-12-17 13:15:00,564.45,587.0,555.0,558.05,4830
2025-12-17 13:45:00,558.05,574.85,551.45,572.0,7890
