date,open,high,low,close,volume
2025-12-15 09:15:00,900.2,1023.3,900.2,1004.0,11220
2025-12-15 09:45:00,1004.0,1018.9,970.6,970.6,6750
2025-12-15 10:15:00,970.6,1005.0,947.55,969.0,4920
2025-12-15 10:45:00,969.0,969.0,929.05,945.0,8340
2025-12-15 11:15:00,945.0,950.45,915.4,937.25,3030
2025-12-15 11:45:00,927.25,927.25,819.5,833.25,17820
2025-12-15 12:15:00,833.25,849.5,820.25,844.35,5040
2025-12-15 12:45:00,844.35,850.0,815.2,820.95,5670
2025-12-15 13:15:00,820.95,850.05,818.75,848.5,6300
2025-12-15 13:45:00,848.5,858.0,821.5,848.35,12480
2025-12-15 14:15:00,848.35,848.75,825.0,825.5,2520
2025-12-15 14:45:00,825.5,845.55,823.7,833.5,6600
2025-12-15 15:15:00,840.45,847.45,822.05,822.05,3090
2025-12-16 09:15:00,878.0,1018.4,878.0,977.4,19710
2025-12-16 09:45:00,977.4,1033.35,964.5,1015.45,9060
2025-12-16 10:15:00,1015.45,1015.45,975.0,986.0,6510
2025-12-16 10:45:00,986.0,1016.5,986.0,1001.95,5550
2025-12-16 11:15:00,1001.95,1055.75,984.05,1045.2,9960
2025-12-16 11:45:00,1045.2,1046.75,1010.7,1023.85,3120
2025-12-16 12:15:00,1023.85,1023.85,986.0,994.1,1920
2025-12-16 12:45:00,994.1,1022.95,994.1,1020.45,2160
2025-12-16 13:15:00,1020.45,1022.75,983.25,994.25,3960
2025-12-16 13:45:00,994.25,1019.0,965.0,1016.1,4650
2025-12-16 14:15:00,1016.1,1040.0,994.65,1003.8,7680
2025-12-16 14:45:00,1003.8,1011.85,978.6,1010.0,5190
2025-12-16 15:15:00,1010.0,1061.9,1010.0,1059.9,8370
2025-12-17 09:15:00,1000.0,1078.55,975.5,1070.0,20190
2025-12-17 09:45:00,1065.05,1113.7,1045.0,1078.9,15420
2025-12-17 10:15:00,1078.9,1119.05,1050.55,1091.2,7260
2025-12-17 10:45:00,1091.2,1105.0,1065.0,1065.0,4170
2025-12-17 11:15:00,1065.0,1095.95,1045.0,1080.4,1560
2025-12-17 11:45:00,1080.4,1108.45,1051.65,1094.5,4500
2025-12-17 12:15:00,1094.5,1114.9,1085.35,1093.4,570
2025-12-17 12:45:00,1093.4,1134.6,1076.85,1128.0,6120
2025-12-17 13:15:00,1128.0,1132.4,1087.0,1130.5,3570
2025-12-17 13:45:00,1130.5,1141.25,1107.05,1107.05,1020
2025-12-17 14:15:00,1107.05,1107.05,1079.0,1098.15,2910
2025-12-17 14:45:00,1098.15,1098.15,1068.1,1080.6,660
2025-12-17 15:15:00,1084.45,1091.5,1045.7,1060.2,3330
2025-12-18 09:15:00,1149.95,1161.5,1093.6,1158.5,9600
2025-12-18 09:45:00,1158.5,1197.3,1050.0,1064.95,12810
2025-12-18 10:15:00,1064.95,1064.95,964.8,983.45,14850
2025-12-18 10:45:00,983.45,1019.5,970.3,1006.3,9390
2025-12-18 11:15:00,1006.3,1020.6,978.5,1004.0,3150
2025-12-18 11:45:00,1004.0,1004.05,955.7,959.55,4920
2025-12-18 12:15:00,955.0,966.0,935.05,954.65,6390
2025-12-18 12:45:00,954.65,982.35,939.55,980.3,6330
2025-12-18 13:15:00,980.3,1013.9,969.95,1004.25,14760
2025-12-18 13:45:00,1004.25,1057.3,993.5,1047.05,24180
2025-12-18 14:15:00,1047.05,1103.5,1031.9,1079.9,26220
2025-12-18 14:45:00,1079.9,1093.0,1062.0,1079.2,5370
2025-12-18 15:15:00,1079.2,1099.9,1076.55,1099.9,6030
2025-12-19 09:15:00,1000.05,1024.85,950.0,977.35,22830
2025-12-19 09:45:00,977.35,1026.15,950.0,998.35,14700
2025-12-19 10:15:00,998.35,1007.9,947.4,957.75,12900
2025-12-19 10:45:00,957.75,1009.8,957.5,993.05,16530
2025-12-19 11:15:00,993.05,1025.6,979.55,1018.6,10500
2025-12-19 11:45:00,1018.6,1051.0,978.0,1000.2,7500
2025-12-19 12:15:00,1000.2,1022.2,980.15,987.9,5310
2025-12-19 12:45:00,987.9,1034.3,981.55,1030.3,6900
2025-12-19 13:15:00,1030.3,1030.3,969.0,970.2,8670
2025-12-19 13:45:00,970.2,978.8,951.0,966.5,8250
2025-12-19 14:15:00,966.5,973.8,939.5,959.0,8700
2025-12-19 14:45:00,959.0,972.0,950.05,965.95,7920
2025-12-19 15:15:00,965.95,972.3,961.6,963.6,9240
2025-12-22 09:15:00,887.9,925.35,812.6,839.95,57570
2025-12-22 09:45:00,839.95,849.95,827.4,835.85,42690
2025-12-22 10:15:00,835.85,862.0,833.7,849.0,4830
2025-12-22 10:45:00,849.0,863.6,833.0,859.95,3270
2025-12-22 11:15:00,859.95,865.05,842.05,853.6,2970
2025-12-22 11:45:00,853.6,856.45,837.0,850.0,3120
2025-12-22 12:15:00,850.0,866.8,839.45,866.8,1890
2025-12-22 12:45:00,866.8,874.0,849.85,854.95,3210
2025-12-22 13:15:00,854.95,860.1,836.0,854.05,2610
2025-12-22 13:45:00,854.05,855.7,840.0,843.05,1860
2025-12-22 14:15:00,843.05,854.95,838.15,848.5,3870
2025-12-22 14:45:00,848.5,852.8,840.85,841.6,8730
2025-12-22 15:15:00,841.6,845.5,830.0,839.3,13200
2025-12-23 09:15:00,820.05,865.0,800.05,858.95,28590
2025-12-23 09:45:00,858.95,864.05,798.1,806.45,11880
2025-12-23 10:15:00,806.45,840.0,806.45,815.0,11550
2025-12-23 10:45:00,815.0,825.0,811.05,818.75,3450
2025-12-23 11:15:00,818.75,848.95,816.0,841.4,4050
2025-12-23 11:45:00,841.4,854.45,818.8,829.5,10410
2025-12-23 12:15:00,829.5,840.15,826.85,836.15,5370
2025-12-23 12:45:00,836.15,837.4,822.55,827.1,9210
2025-12-23 13:15:00,827.1,833.65,818.9,832.25,16380
2025-12-23 13:45:00,832.25,837.95,820.0,820.0,10500
2025-12-23 14:15:00,820.0,833.15,807.65,833.15,18840
2025-12-23 14:45:00,833.15,836.3,818.0,827.05,6630
2025-12-23 15:15:00,827.05,836.55,825.45,833.5,17040
2025-12-24 09:15:00,833.5,841.3,744.75,760.0,37920
2025-12-24 09:45:00,760.0,783.75,754.6,769.65,13230
2025-12-24 10:15:00,769.65,775.0,752.3,775.0,21510
2025-12-24 10:45:00,775.0,786.25,765.85,771.7,8190
2025-12-24 11:15:00,771.7,796.6,768.0,792.15,14730
2025-12-24 11:45:00,792.15,800.5,788.0,793.0,8100
2025-12-24 12:15:00,793.0,803.95,786.0,798.4,2850
2025-12-24 12:45:00,798.4,859.55,797.5,852.15,16110
2025-12-24 13:15:00,852.15,897.85,850.5,880.0,38520
2025-12-24 13:45:00,880.0,890.0,857.35,877.55,11340
2025-12-24 14:15:00,877.55,886.95,858.65,863.0,11010
2025-12-24 14:45:00,863.0,880.0,852.0,874.95,12870
2025-12-24 15:15:00,874.95,900.0,868.85,900.0,12690
2025-12-26 09:15:00,934.0,950.0,889.95,931.95,22200
2025-12-26 09:45:00,931.95,940.6,905.95,928.0,16710
2025-12-26 10:15:00,928.0,937.45,910.0,911.6,11190
2025-12-26 10:45:00,911.6,950.0,905.65,949.4,13200
2025-12-26 11:15:00,949.4,990.0,942.4,976.5,23520
2025-12-26 11:45:00,976.5,981.15,963.0,967.65,11070
2025-12-26 12:15:00,967.65,1019.45,965.0,992.0,26400
2025-12-26 12:45:00,992.0,1001.0,974.85,976.15,7170
2025-12-26 13:15:00,976.15,988.45,970.0,983.95,4650
2025-12-26 13:45:00,983.95,1002.85,972.5,996.35,12570
2025-12-26 14:15:00,996.35,1023.9,994.4,1000.0,8730
