Script,Reason
BAYERCROP,Low liquidity
CPSEETF,ETF
FMCGIETF,ETF
NMDC,PSU - avoid
PVTBANIETF,ETF
SETFNN50,ETF
SILVERBEES,ETF
VBL,Low liquidity
